V160001,V160001_orig,age,female,education,leftright,politicalinterest,politicalparticipation,TIPI_extraversion,TIPI_agreeableness,TIPI_conscientiousness,TIPI_emotionalstability,TIPI_openness,V161069,V161072,V161075,V161078,V161098,V161101,V161104,V161106
1,300001,29,0,1,6,2,0,4.5,4,6,3.5,5.5,,everything,truth//his caring for the country,,,i see them trying take to much and give to the how would i put that give to the too much gving and enough able when should not,more straightforward and for the people,
2,300002,26,0,3,5,3,0,4,4,4,4.5,6.5,,seem corptupt anti gun anti 2nd amen,pro 2nd amendement//,erassional//,,,pro 2nd ament small gov oppose gov envolement//,
3,300003,23,0,1,2,1,0,6,3,5.5,4,4.5,,,,,,,,
4,300004,58,0,1,4,2,0,5,6,6,2,4,,whole personal//no,he says what he thinks//I believe he will do what he says//he is running against Hilary//,arganize,,their stand on health care//pro life//taxxes//and the economy//they cover up or try to cover up a lot//,their stand on health care issue//pro life issues//tax issues//military//,lack of unity//
5,300006,38,1,1,2,1,0,3,5.5,6,2.5,5.5,,Im not really strong on their policies and that but it's a worry either way if either one of them become the president//,,dont feel he has political experience//,they tend to try to work for the poor people//,,usually go with morals and try to get people to work more which I agree with that//,
6,300007,60,0,3,4,3,0,3.5,3.5,6,2,3,,,I would not vote for Hiliary it would take a generation to undone what she will do.  I like the fact that he is not a politician dont trust any of them//,"inexoerience in politics, and I dont know how a person has always had his way will deal with congress, what will he fire them if they vote against him//",,they have moved too far left and turned into more socialist than democratic...lot of entitlement with redistrubtion of wealth to pay for it//in general dont like the policies (we dont have the $$) to do the programs//,hard to come up//i have a problem///what they say and what they do are not the same.  like the conservative values and small governmnet and supossed fiscal conservative and a stronger defense but they are not always there//,they have not been active enough in acting on all of the things they said they would do in the last midterm election when they got both house and senate//
7,300008,58,0,1,0,1,0,6,5,7,4,5.5,,,,arrogrance,plan for minorities sound more favorable to me/,,,
8,300012,56,1,1,3,2,.5,5.5,6.5,6,1,6,,"I've been saying after President Clinton went thru all the issues with impeachment, the affairs, all that I saw in her she stayed with him for her own political gain and power.//Her judgement's awful. When you have an ambassador hundreds of time requesting help, more secruity and she doesn't get the job done, she doesn't do her job. And he got killed of course with 3 others.//All the wheeling and dealing she does. There's definite pay for play.//She panders for votes. Tells people what they want to hear and does nothing for them ever.//","There are many things. Mainly I am aligned with him on all the positions of the issues. Meaning borders, closing the borders, building the walls, legal immigration nit illegal. lower taxes, helptong the vets, building s stromng military, fair trade, and for years now I have been saying we have to stop countries from leaving the country. it's going to kill us, not literally. The economy. At least make it fair.//I like that he is not a typical politician. We have enough of those. Let's try something different.//He has a proven track record in busibess and success.",,,"The dishonesty. I just feel that they are in it for themselves, they're own gain. It's just for their own ain. They seem very elitist. It's almost like what can I get out of this, whatever they're doing. catastrophes with foreign policy. Their position policy on open borders is horrible.//",I feel strongly as they do on the 2nd amendent to keep our constitution intact.//As I've gotten wiser I share the conservative values as I feel that's our best chance of preserving everything good in our country and what it's built on.//,"I don't believe they stick together, they don't have each other's backs.//"
9,300018,45,0,1,4,2,0,7,5.5,6,2.5,5,,"She's a liar.  She's a cheat.  She did not show support in Benghazi that I think she should have.  I mean, those guys asked for help and she totally disregarded their request for help//Her stance at abortions being okay at 36 months is total BS.  Babies are born at 36 months.  I mean, Trump had the 'rip 'em from the wound line' which I don't think he should have said it that way but it's the truth//It's murder//This email thing, she's claiming it's not a big deal but she deleted 33,000 emails that she refused to turn over and acted like it wasn't a big deal//With this new Weiner's wife, her top aide, Huma something, with her now coming into question and Hillary is still playing it off as not being a big deal//She's saying check anyone's email.  It's okay.  They'll find the same thing that they did in her emails that they went through before the investigation, except of course the 33000 emails that she deleted and didn't think was a big deal//The accusations, the things she's saying about Trump and his persona","I like that he is a straight shooter.  He tells it like it is and he's not a politician//I believe in a lot of his ideals, as well.  Of course there's a lot that I don't believe in//I really don't like the other side so he's the lesser of two evils//","He tends to not have a filter and flies off at the mouth from time to time, which I know I also said was a good thing....but it's a detriment.  He's got some pretty bad history from a personal standpoint//I just know his business practices..not ever paying income tax, which I guess, you know, he's smart enough to know the tax code and get away from it..  But, at the same time, I have to pay taxes every year and to not pay taxes and control the government seems wrong//",,The Affordable Care Act,,
10,300020,30,1,2,2,2,.5,4,5.5,4,4.5,5,,,,,,,,
11,300021,40,1,1,4,,0,,,,,,,a lot of things i do not agree with nothing in particular,,,,,,
12,300023,86,1,2,2,,0,,,,,,Very smart and educated.  She has always been in political arenas.  I just think she is well qualified.//,,,He is just so conceited and thinks he is so powerful and he knows little about politics and governemnt.//,They are better than the Republicans.//,,,They have Donald rump as their candidate.//
13,300026,30,0,3,4,3,.5,4,5.5,5.5,2.5,5.5,Shes not Donald Trump//democrative party traditionally has beenmore open programs (economic distribution)//,she's not trustworthy//has lied under oath//,because he's not hillary clinton//traditionally speaki Republicans are ore fisscally conservative//,"view on immiration, hard line towards Muslims in general, lack of experience in office, being a frea monger//",the opposite of what I just said - //,lot of backers are multi national corporations and may not have the interests of the Americcan people//,fiscally responsible. for the most part they believe in perosnal responsiblility//,less likely to look favorably toward  social injustces//
14,300030,67,0,2,1,2,0,5,3.5,6,5.5,5.5,,She's a crook//Her husband's a crook and draft dodger,"He's not politically correct// He says what he thinks be it right or wrong sometimes//He's trying to run the plotical establishement out of Dc, which we need//",,,"they are not for the middle class anymore like they used to be, and the workers, used to be strong party for the workers but they dont practice what they preach anymore//","They want to help minorities, talking about doing more and the economy// defense, dealiing with our defense, taxes and better health care//","Too many rich republicans that dont care about the average guy, the middle class//"
15,300034,62,1,3,0,3,.5,7,6.5,4.5,3.5,6.5,Her policies. Her experience and she is NOT Donald Trump.//,,,Where do I start ? I think he is unknowledgeable about foriegn policy. He does not tell the truth. His personality is not condusive to being a President. //,I think the party is socially responsible. They strive to include all people. // My family was always a democratic family and I just always thinkd they're better,They don't take into account that they're are republicans that are faithful.,I like their financial conservatism.//,They aren't as responsive to pverty and racial issues.//
16,300038,51,0,1,0,1,0,1.5,6,5.5,2,3.5,Democrat,I kind of dont trust her,,,It helps out poor people,,,budget cuts
17,300039,46,0,3,0,3,.5,1.5,4,6.5,3.5,4.5,"She has experience, she is rational...the alternative is not//I think she'd be a good president//I mean.. I have a [REDACTED FAMILY DETAILS] so I think having a woman president would be a positive role model",,,"I guess...he is untrustworthy, he incites and hatred and violence//he is unfit//He is unknowledgable of the job","In general I think they are more thoughtful... definitely on the side of disadvantaged people//definitely on the side of human rights for minorities, gay people and human rights//The environment.. their positions on the environment, on science//I think in general they're more thoughtful in their approach to foreing policy or really (any) most issues",Sometimes they are too wishy-washy//Kind of like any political party they are too beholden to some of their special interest as opposed to looking at something objectively,In some cases i think there is overregulation and in some issues in foreign policy and tax reform  - I would agree with some of their positions,Their support of guns//Their religiosity//In general they're attacting the safety net for lower middle class people//They are against gay marriage and gay rights//Their tendency toward promoting war as sort of a first response
18,300040,70,0,3,6,2,0,4,4.5,6,3.5,5.5,,I question her veracity in history/,"His forthrightness, his ability to tell what really should be going on which people don't like/Probably another added thing for him and it is important is that he has a veyr good business head, which people don't like",,"Supposed openess, don't think that's totally tru anymore but that's what they are supposed to be/",Don't like their economic poilicies/,conservativeness/like their economic policies/,They're unwillingness to moderate so they can work with the democrates cause there's a real problem going on there/
19,300041,30,1,3,0,2,.5,3.5,6,5.5,2,5.5,stance on social issues/her experience/shre is policy driven has a good understanding of foriegn policy,,,the way he speaks aboit woman immigrants has no concept of foreighn policy,handling socisal issues/education/immigration /gun issues/foreighn policy,,with more moderate republicans they have stong backgrounds in the ecomony and foreighn policy,social issues relatiing to women/eduvation/healthcare
20,300042,67,1,2,5,1,0,6,7,6.5,2.5,6,,Benghazi//,,I don't think he knows enough about national defence and i don't think e's very educated in the military,,Basically I feel they are in it for the money//,They are for the people and usually handle the military better//,Their candidate for president
21,300045,66,1,1,5,2,0,3.5,6,6.5,3,3.5,,everything,// likes his out looks,"trash talk, should keep his mouth shut because it hurts his campaign//",,dont like the ways some of them feel with our constitutional rights,"like conservative views, like 2nd amendment views and strong feelings about abortion issues",
22,300046,32,1,2,5,2,.5,6,4.5,6,3,5,,think she is wishy washy/always back and forth about anything/trying to get public on her side and don't believe anythinig that she says/,Like his ideas and principles/a strong business and how to run things/immigration/foreign and military/,,main idea looking out for people that are not in great situation/,they go overboard in trying to help people that's a strain on our economy/,policies in general the way they would run the country they way they look at economy would be the biggest reason/,
23,300047,56,1,2,4,2,0,6,5,5,4,4.5,Her family values.'',,,Everything about him.//,,,,The nominee.//
24,300049,65,1,3,4,1,0,3.5,6,6,2.5,4.5,,all the lies and power she has is to much and untruths they have gotten by with,change in the government due to the past there needs to be changes,he's rude and crude,,,,
