V160001	V160001_orig	age	female	education	leftright	politicalinterest	politicalparticipation	TIPI_extraversion	TIPI_agreeableness	TIPI_conscientiousness	TIPI_emotionalstability	TIPI_openness	V161069	V161072	V161075	V161078	V161098	V161101	V161104	V161106	party_id	V161069_clean	V161072_clean	V161075_clean	V161078_clean	V161098_clean	V161101_clean	V161104_clean	V161106_clean
1	300001	29.0	0.0	1	6.0	2.0	0.0	4.5	4.0	6.0	3.5	5.5		everything	truth//his caring for the country			i see them trying take to much and give to the how would i put that give to the too much gving and enough able when should not	more straightforward and for the people		2.0		everything	truth.  his caring for the country			i see them trying take to much and give to the how would i put that give to the too much gving and enough able when should not	more straightforward and for the people	
2	300002	26.0	0.0	3	5.0	3.0	0.0	4.0	4.0	4.0	4.5	6.5		seem corptupt anti gun anti 2nd amen	pro 2nd amendement//	erassional//			pro 2nd ament small gov oppose gov envolement//		2.0		seem corptupt anti gun anti 2nd amen	pro 2nd amendement.  	erassional.  			pro 2nd ament small gov oppose gov envolement.  	
3	300003	23.0	0.0	1	2.0	1.0	0.0	6.0	3.0	5.5	4.0	4.5									1.0								
4	300004	58.0	0.0	1	4.0	2.0	0.0	5.0	6.0	6.0	2.0	4.0		whole personal//no	he says what he thinks//I believe he will do what he says//he is running against Hilary//	arganize		their stand on health care//pro life//taxxes//and the economy//they cover up or try to cover up a lot//	their stand on health care issue//pro life issues//tax issues//military//	lack of unity//	1.0		whole personal.  no	he says what he thinks.  i believe he will do what he says.  he is running against hilary.  	arganize		their stand on health care.  pro life.  taxxes.  and the economy.  they cover up or try to cover up a lot.  	their stand on health care issue.  pro life issues.  tax issues.  military.  	lack of unity.  
5	300006	38.0	1.0	1	2.0	1.0	0.0	3.0	5.5	6.0	2.5	5.5		Im not really strong on their policies and that but it's a worry either way if either one of them become the president//		dont feel he has political experience//	they tend to try to work for the poor people//		usually go with morals and try to get people to work more which I agree with that//		1.0		im not really strong on their policies and that but it's a worry either way if either one of them become the president.  		dont feel he has political experience.  	they tend to try to work for the poor people.  		usually go with morals and try to get people to work more which i agree with that.  	
6	300007	60.0	0.0	3	4.0	3.0	0.0	3.5	3.5	6.0	2.0	3.0			I would not vote for Hiliary it would take a generation to undone what she will do.  I like the fact that he is not a politician dont trust any of them//	inexoerience in politics, and I dont know how a person has always had his way will deal with congress, what will he fire them if they vote against him//		they have moved too far left and turned into more socialist than democratic...lot of entitlement with redistrubtion of wealth to pay for it//in general dont like the policies (we dont have the $$) to do the programs//	hard to come up//i have a problem///what they say and what they do are not the same.  like the conservative values and small governmnet and supossed fiscal conservative and a stronger defense but they are not always there//	they have not been active enough in acting on all of the things they said they would do in the last midterm election when they got both house and senate//	1.0			i would not vote for hiliary it would take a generation to undone what she will do.   i like the fact that he is not a politician dont trust any of them.  	inexoerience in politics, and i dont know how a person has always had his way will deal with congress, what will he fire them if they vote against him.  		they have moved too far left and turned into more socialist than democratic. . . lot of entitlement with redistrubtion of wealth to pay for it.  in general dont like the policies (we dont have the $$) to do the programs.  	hard to come up.  i have a problem.  /what they say and what they do are not the same.   like the conservative values and small governmnet and supossed fiscal conservative and a stronger defense but they are not always there.  	they have not been active enough in acting on all of the things they said they would do in the last midterm election when they got both house and senate.  
7	300008	58.0	0.0	1	0.0	1.0	0.0	6.0	5.0	7.0	4.0	5.5				arrogrance	plan for minorities sound more favorable to me/				0.0				arrogrance	plan for minorities sound more favorable to me/			
8	300012	56.0	1.0	1	3.0	2.0	0.5	5.5	6.5	6.0	1.0	6.0		I've been saying after President Clinton went thru all the issues with impeachment, the affairs, all that I saw in her she stayed with him for her own political gain and power.//Her judgement's awful. When you have an ambassador hundreds of time requesting help, more secruity and she doesn't get the job done, she doesn't do her job. And he got killed of course with 3 others.//All the wheeling and dealing she does. There's definite pay for play.//She panders for votes. Tells people what they want to hear and does nothing for them ever.//	There are many things. Mainly I am aligned with him on all the positions of the issues. Meaning borders, closing the borders, building the walls, legal immigration nit illegal. lower taxes, helptong the vets, building s stromng military, fair trade, and for years now I have been saying we have to stop countries from leaving the country. it's going to kill us, not literally. The economy. At least make it fair.//I like that he is not a typical politician. We have enough of those. Let's try something different.//He has a proven track record in busibess and success.			The dishonesty. I just feel that they are in it for themselves, they're own gain. It's just for their own ain. They seem very elitist. It's almost like what can I get out of this, whatever they're doing. catastrophes with foreign policy. Their position policy on open borders is horrible.//	I feel strongly as they do on the 2nd amendent to keep our constitution intact.//As I've gotten wiser I share the conservative values as I feel that's our best chance of preserving everything good in our country and what it's built on.//	I don't believe they stick together, they don't have each other's backs.//	1.0		i've been saying after president clinton went thru all the issues with impeachment, the affairs, all that i saw in her she stayed with him for her own political gain and power. .  her judgement's awful.  when you have an ambassador hundreds of time requesting help, more secruity and she doesn't get the job done, she doesn't do her job.  and he got killed of course with 3 others. .  all the wheeling and dealing she does.  there's definite pay for play. .  she panders for votes.  tells people what they want to hear and does nothing for them ever. .  	there are many things.  mainly i am aligned with him on all the positions of the issues.  meaning borders, closing the borders, building the walls, legal immigration nit illegal.  lower taxes, helptong the vets, building s stromng military, fair trade, and for years now i have been saying we have to stop countries from leaving the country.  it's going to kill us, not literally.  the economy.  at least make it fair. .  i like that he is not a typical politician.  we have enough of those.  let's try something different. .  he has a proven track record in busibess and success. 			the dishonesty.  i just feel that they are in it for themselves, they're own gain.  it's just for their own ain.  they seem very elitist.  it's almost like what can i get out of this, whatever they're doing.  catastrophes with foreign policy.  their position policy on open borders is horrible. .  	i feel strongly as they do on the 2nd amendent to keep our constitution intact. .  as i've gotten wiser i share the conservative values as i feel that's our best chance of preserving everything good in our country and what it's built on. .  	i don't believe they stick together, they don't have each other's backs. .  
9	300018	45.0	0.0	1	4.0	2.0	0.0	7.0	5.5	6.0	2.5	5.0		She's a liar.  She's a cheat.  She did not show support in Benghazi that I think she should have.  I mean, those guys asked for help and she totally disregarded their request for help//Her stance at abortions being okay at 36 months is total BS.  Babies are born at 36 months.  I mean, Trump had the 'rip 'em from the wound line' which I don't think he should have said it that way but it's the truth//It's murder//This email thing, she's claiming it's not a big deal but she deleted 33,000 emails that she refused to turn over and acted like it wasn't a big deal//With this new Weiner's wife, her top aide, Huma something, with her now coming into question and Hillary is still playing it off as not being a big deal//She's saying check anyone's email.  It's okay.  They'll find the same thing that they did in her emails that they went through before the investigation, except of course the 33000 emails that she deleted and didn't think was a big deal//The accusations, the things she's saying about Trump and his persona	I like that he is a straight shooter.  He tells it like it is and he's not a politician//I believe in a lot of his ideals, as well.  Of course there's a lot that I don't believe in//I really don't like the other side so he's the lesser of two evils//	He tends to not have a filter and flies off at the mouth from time to time, which I know I also said was a good thing....but it's a detriment.  He's got some pretty bad history from a personal standpoint//I just know his business practices..not ever paying income tax, which I guess, you know, he's smart enough to know the tax code and get away from it..  But, at the same time, I have to pay taxes every year and to not pay taxes and control the government seems wrong//		The Affordable Care Act			1.0		she's a liar.   she's a cheat.   she did not show support in benghazi that i think she should have.   i mean, those guys asked for help and she totally disregarded their request for help.  her stance at abortions being okay at 36 months is total bs.   babies are born at 36 months.   i mean, trump had the 'rip 'em from the wound line' which i don't think he should have said it that way but it's the truth.  it's murder.  this email thing, she's claiming it's not a big deal but she deleted 33,000 emails that she refused to turn over and acted like it wasn't a big deal.  with this new weiner's wife, her top aide, huma something, with her now coming into question and hillary is still playing it off as not being a big deal.  she's saying check anyone's email.   it's okay.   they'll find the same thing that they did in her emails that they went through before the investigation, except of course the 33000 emails that she deleted and didn't think was a big deal.  the accusations, the things she's saying about trump and his persona	i like that he is a straight shooter.   he tells it like it is and he's not a politician.  i believe in a lot of his ideals, as well.   of course there's a lot that i don't believe in.  i really don't like the other side so he's the lesser of two evils.  	he tends to not have a filter and flies off at the mouth from time to time, which i know i also said was a good thing. . . . but it's a detriment.   he's got some pretty bad history from a personal standpoint.  i just know his business practices. . not ever paying income tax, which i guess, you know, he's smart enough to know the tax code and get away from it. .   but, at the same time, i have to pay taxes every year and to not pay taxes and control the government seems wrong.  		the affordable care act		
10	300020	30.0	1.0	2	2.0	2.0	0.5	4.0	5.5	4.0	4.5	5.0									1.0								
