measure,network_stat,estimate,se,ci_low,ci_high,t_stat,p_value
leftright,giant component,-0.01292216545963032,0.009747591619838456,-0.032029299312705366,0.006184968393444727,-1.325677763657119,0.18497533319026457
leftright,k avg,-0.01914461368335344,0.009553870885488692,-0.03787201790549419,-0.0004172094612126982,-2.0038593689215607,0.045110799644405696
leftright,clustering,0.013130860725997485,0.008830717905900794,-0.004179026331205586,0.030440747783200557,1.486952801110687,0.1370573436154643
leftright,density,0.014811582742278602,0.010589650416706441,-0.005946146636665589,0.035569312121222794,1.3986847685653114,0.16193710805996175
leftright,entropy,0.007607974146403093,0.009100889547579507,-0.010231500731603156,0.02544744902440934,0.8359593978839713,0.4031967927898167
leftright,disssortativity,-0.0005321376371074816,0.009444298581565763,-0.019044759561573414,0.017980484287358454,-0.0563448553126175,0.9550681597058934
leftright,k std,-0.009221720075489303,0.009904817613818756,-0.028637046887935398,0.010193606736956793,-0.931033809509382,0.3518575090921031
politicalinterest,giant component,-0.024331069178356264,0.011283452463559409,-0.046449130370044014,-0.0022130079866685103,-2.1563496861386104,0.031082123074493706
politicalinterest,k avg,0.01636950038977675,0.011114061443639689,-0.005416520550750089,0.03815552133030359,1.472863945623103,0.14082187072678856
politicalinterest,clustering,0.01208637345256303,0.01029682205460718,-0.008097675291767262,0.03227042219689332,1.1737964770552811,0.24050685972494185
politicalinterest,density,-0.029587634498431548,0.012339316404492939,-0.053775423552932175,-0.005399845443930924,-2.397834169132597,0.01651207935709944
politicalinterest,entropy,-0.019992239297523216,0.010629588265755772,-0.04082858380964617,0.0008441052145997351,-1.8808103190534777,0.06002920460411619
politicalinterest,disssortativity,-0.0149927931357039,0.011032677726004332,-0.03661928226178045,0.00663369599037265,-1.3589441754802158,0.17419750939762324
politicalinterest,k std,0.011651647513957855,0.011504800913529997,-0.010900307021302355,0.03420360204921807,1.012763941030493,0.31119949147971065
politicalparticipation,giant component,0.004908234965989454,0.010705054070666922,-0.016075698134444913,0.025892168066423818,0.45849698035982667,0.6466048964595386
politicalparticipation,k avg,0.03219773248668329,0.010493340811885842,0.011628794968039868,0.05276667000532671,3.068396715964168,0.0021575829766443053
politicalparticipation,clustering,-0.003933940161770957,0.009728948952923295,-0.023004523489678515,0.0151366431661366,-0.4043540757389739,0.6859605846311985
politicalparticipation,density,-0.025644453684695392,0.01165097757677278,-0.048482576897602415,-0.002806330471788368,-2.2010559642497127,0.027753697307345327
politicalparticipation,entropy,-0.02754764293229139,0.00999384202194327,-0.04713746697832752,-0.007957818886255259,-2.756461716305462,0.005853110818098879
politicalparticipation,disssortativity,-0.006785763298364844,0.010361749372202536,-0.027096755679701563,0.013525229082971876,-0.6548858744421102,0.512555553333171
politicalparticipation,k std,0.019658774014370432,0.010888649921573582,-0.0016850427549182437,0.04100259078365911,1.8054372356503707,0.07103485816278549
TIPI_extraversion,giant component,-0.015573069992637013,0.011416691108963541,-0.03795234476037469,0.006806204775100667,-1.3640616045405827,0.1725818541435514
TIPI_extraversion,k avg,0.01309288514399628,0.011153835638962101,-0.008771133957172042,0.0349569042451646,1.1738459815797155,0.24048738870082853
TIPI_extraversion,clustering,0.03189509526554618,0.010393100547323713,0.011522287538912539,0.05226790299217982,3.0688720002578407,0.002154997339233799
TIPI_extraversion,density,-0.009407784629502609,0.012522027114151905,-0.03395376583912357,0.015138196580118356,-0.7512988547094184,0.4524922125255427
TIPI_extraversion,entropy,-0.00923141210124458,0.010790877214108357,-0.030383951296235043,0.011921127093745883,-0.8554830082928866,0.3923062908559014
TIPI_extraversion,disssortativity,-0.00889506710470674,0.011193255170419206,-0.030836357327364967,0.013046223117951488,-0.794680990406976,0.4268197809059683
TIPI_extraversion,k std,0.015020459103254695,0.011693607191108192,-0.00790163328394672,0.03794255149045611,1.2845017673140446,0.19899908587096815
TIPI_agreeableness,giant component,-0.0018952743687067413,0.011468330946794487,-0.0243761943464895,0.02058564560907602,-0.16526156922917273,0.8687422856438456
TIPI_agreeableness,k avg,-0.00554864788528537,0.011203568084890333,-0.027512754765081922,0.016415458994511183,-0.4952572112065388,0.6204411532014562
TIPI_agreeableness,clustering,-0.004499696243410416,0.01043841058665084,-0.024961332964520994,0.015961940477700165,-0.4310710146968976,0.6664269699726059
TIPI_agreeableness,density,-0.016401173026945607,0.012550475719567158,-0.0410029616801971,0.00820061562630588,-1.3068168405262053,0.1913083109864943
TIPI_agreeableness,entropy,0.0026459753446169683,0.01081818124383351,-0.018560090818792084,0.02385204150802602,0.2445859692104165,0.80678254359599
TIPI_agreeableness,disssortativity,-0.0157368176185626,0.011218494735350585,-0.03772758786419446,0.006253952627069261,-1.4027566077090836,0.160723541975195
TIPI_agreeableness,k std,-0.008451436210669568,0.01173858056150053,-0.03146170574293891,0.014558833321599775,-0.7199708828840913,0.47156149800469094
TIPI_conscientiousness,giant component,-0.01113272450127288,0.011476070594897962,-0.03362843290365024,0.011362983901104478,-0.9700815631286088,0.33203189013976864
TIPI_conscientiousness,k avg,0.005681842662155486,0.011263348114560937,-0.016397157347666023,0.027760842671976996,0.5044541467035154,0.6139557659222368
TIPI_conscientiousness,clustering,-0.006372314435264312,0.010417810079475507,-0.02679355661694661,0.01404892774641799,-0.6116750436657155,0.5407680204603258
TIPI_conscientiousness,density,-0.012845010159413979,0.012547807415327778,-0.0374415259221486,0.011751505603320635,-1.0236856316206409,0.3060109427728239
TIPI_conscientiousness,entropy,0.0006743335905726101,0.010807568661327496,-0.020510923210710744,0.021859590391855966,0.0623945691860894,0.9502499869427481
