subj_id,leftright,politicalinterest,politicalparticipation,TIPI_extraversion,TIPI_agreeableness,TIPI_conscientiousness,TIPI_emotionalstability,TIPI_openness,age,female,education,question,net_stats,word_count,giant component,k avg,clustering,density,entropy,disssortativity,k std
12,2.0,,0.0,,,,,,86.0,1.0,2,V161069_stats,"{'node_count': 10, 'edge_count': 6, 'clustering': 0.0, 'giant component': 0.3, 'disssortativity': 0.33333333333333237, 'k avg': 1.2, 'k std': 0.6324555320336759, 'entropy': 0.41740034149720906, 'density': 0.13333333333333333}",18,0.3,1.2,0.0,0.13333333333333333,0.41740034149720906,0.33333333333333237,0.6324555320336759
13,4.0,3.0,0.5,4.0,5.5,5.5,2.5,5.5,30.0,0.0,3,V161069_stats,"{'node_count': 12, 'edge_count': 9, 'clustering': 0.0, 'giant component': 0.16666666666666666, 'disssortativity': -0.16666666666666663, 'k avg': 1.5, 'k std': 0.9045340337332909, 'entropy': 0.5150810290084982, 'density': 0.13636363636363635}",13,0.16666666666666666,1.5,0.0,0.13636363636363635,0.5150810290084982,-0.16666666666666663,0.9045340337332909
15,0.0,3.0,0.5,7.0,6.5,4.5,3.5,6.5,62.0,1.0,3,V161069_stats,"{'node_count': 3, 'edge_count': 2, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.3333333333333333, 'k std': 0.5773502691896257, 'entropy': 0.6293370420768268, 'density': 0.6666666666666666}",11,1.0,1.3333333333333333,0.0,0.6666666666666666,0.6293370420768268,1.0,0.5773502691896257
17,0.0,3.0,0.5,1.5,4.0,6.5,3.5,4.5,46.0,0.0,3,V161069_stats,"{'node_count': 14, 'edge_count': 13, 'clustering': 0.04047619047619048, 'giant component': 0.9285714285714286, 'disssortativity': 0.44444444444444425, 'k avg': 1.8571428571428572, 'k std': 1.6104057232283402, 'entropy': 0.5457109920594292, 'density': 0.14285714285714285}",38,0.9285714285714286,1.8571428571428572,0.04047619047619048,0.14285714285714285,0.5457109920594292,0.44444444444444425,1.6104057232283402
19,0.0,2.0,0.5,3.5,6.0,5.5,2.0,5.5,30.0,1.0,3,V161069_stats,"{'node_count': 8, 'edge_count': 5, 'clustering': 0.0, 'giant component': 0.25, 'disssortativity': 0.3157894736842116, 'k avg': 1.25, 'k std': 0.8864052604279183, 'entropy': 0.554287498166492, 'density': 0.17857142857142858}",15,0.25,1.25,0.0,0.17857142857142858,0.554287498166492,0.3157894736842116,0.8864052604279183
27,3.0,1.0,0.0,5.5,6.5,6.0,1.5,6.0,68.0,,3,V161069_stats,"{'node_count': 7, 'edge_count': 6, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.49999999999999944, 'k avg': 1.7142857142857142, 'k std': 1.1126972805283735, 'entropy': 0.528268450675938, 'density': 0.2857142857142857}",14,1.0,1.7142857142857142,0.0,0.2857142857142857,0.528268450675938,0.49999999999999944,1.1126972805283735
29,2.0,3.0,0.5,4.0,5.5,6.0,3.0,6.0,73.0,0.0,3,V161069_stats,"{'node_count': 7, 'edge_count': 6, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.44827586206896564, 'k avg': 1.7142857142857142, 'k std': 0.9511897312113419, 'entropy': 0.528268450675938, 'density': 0.2857142857142857}",14,1.0,1.7142857142857142,0.0,0.2857142857142857,0.528268450675938,0.44827586206896564,0.9511897312113419
39,2.0,3.0,0.0,2.5,5.0,5.0,4.5,4.0,48.0,0.0,1,V161069_stats,"{'node_count': 9, 'edge_count': 8, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.47368421052631576, 'k avg': 1.7777777777777777, 'k std': 0.9718253158075502, 'entropy': 0.47075019703120186, 'density': 0.2222222222222222}",21,1.0,1.7777777777777777,0.0,0.2222222222222222,0.47075019703120186,0.47368421052631576,0.9718253158075502
40,1.0,2.0,1.0,5.0,5.0,5.5,5.0,6.0,26.0,1.0,2,V161069_stats,"{'node_count': 8, 'edge_count': 8, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.3968253968253968, 'k avg': 2.0, 'k std': 0.9258200997725514, 'entropy': 0.4648167290539554, 'density': 0.2857142857142857}",14,1.0,2.0,0.0,0.2857142857142857,0.4648167290539554,0.3968253968253968,0.9258200997725514
43,0.0,2.0,0.0,6.5,7.0,7.0,1.0,7.0,46.0,1.0,3,V161069_stats,"{'node_count': 4, 'edge_count': 3, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.5, 'k std': 1.0, 'entropy': 0.4393743703526205, 'density': 0.5}",13,1.0,1.5,0.0,0.5,0.4393743703526205,1.0,1.0
46,1.0,3.0,0.5,6.0,4.5,6.5,3.0,5.0,52.0,1.0,3,V161069_stats,"{'node_count': 14, 'edge_count': 13, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.17469879518072276, 'k avg': 1.8571428571428572, 'k std': 0.9492622930986468, 'entropy': 0.48336248625233236, 'density': 0.14285714285714285}",20,1.0,1.8571428571428572,0.0,0.14285714285714285,0.48336248625233236,0.17469879518072276,0.9492622930986468
47,3.0,1.0,0.0,3.5,5.5,6.5,4.5,5.0,29.0,1.0,3,V161069_stats,"{'node_count': 9, 'edge_count': 8, 'clustering': 0.0, 'giant component': 0.8888888888888888, 'disssortativity': 0.5555555555555556, 'k avg': 1.7777777777777777, 'k std': 1.2018504251546631, 'entropy': 0.7146001005435264, 'density': 0.2222222222222222}",23,0.8888888888888888,1.7777777777777777,0.0,0.2222222222222222,0.7146001005435264,0.5555555555555556,1.2018504251546631
50,1.0,,0.0,,,,,,64.0,0.0,1,V161069_stats,"{'node_count': 10, 'edge_count': 9, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.4318181818181821, 'k avg': 1.8, 'k std': 0.7888106377466155, 'entropy': 0.49036821066210917, 'density': 0.2}",19,1.0,1.8,0.0,0.2,0.49036821066210917,0.4318181818181821,0.7888106377466155
52,0.0,2.0,0.0,5.0,6.0,6.0,2.5,5.0,61.0,1.0,3,V161069_stats,"{'node_count': 9, 'edge_count': 5, 'clustering': 0.0, 'giant component': 0.2222222222222222, 'disssortativity': 0.2500000000000021, 'k avg': 1.1111111111111112, 'k std': 0.33333333333333337, 'entropy': 0.170175220139158, 'density': 0.1388888888888889}",24,0.2222222222222222,1.1111111111111112,0.0,0.1388888888888889,0.170175220139158,0.2500000000000021,0.33333333333333337
55,0.0,2.0,0.0,4.5,6.0,6.5,2.0,5.5,35.0,1.0,3,V161069_stats,"{'node_count': 16, 'edge_count': 15, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.25179856115107946, 'k avg': 1.875, 'k std': 1.2583057392117916, 'entropy': 0.4103818461614396, 'density': 0.125}",36,1.0,1.875,0.0,0.125,0.4103818461614396,0.25179856115107946,1.2583057392117916
56,2.0,2.0,0.0,3.0,5.0,5.5,2.5,6.5,24.0,1.0,2,V161069_stats,"{'node_count': 11, 'edge_count': 11, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.11864406779660988, 'k avg': 2.0, 'k std': 1.0, 'entropy': 0.5633025892964874, 'density': 0.2}",31,1.0,2.0,0.0,0.2,0.5633025892964874,0.11864406779660988,1.0
58,0.0,2.0,0.0,4.0,4.0,5.5,3.0,5.0,61.0,0.0,3,V161069_stats,"{'node_count': 7, 'edge_count': 8, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.8235294117647058, 'k avg': 2.2857142857142856, 'k std': 1.3801311186847083, 'entropy': 0.705887816857389, 'density': 0.38095238095238093}",22,1.0,2.2857142857142856,0.0,0.38095238095238093,0.705887816857389,0.8235294117647058,1.3801311186847083
59,0.0,1.0,0.5,3.0,7.0,7.0,1.0,7.0,52.0,1.0,3,V161069_stats,"{'node_count': 18, 'edge_count': 17, 'clustering': 0.0, 'giant component': 0.3333333333333333, 'disssortativity': 0.15116279069767388, 'k avg': 1.8888888888888888, 'k std': 0.9002541398626663, 'entropy': 0.4385505534544844, 'density': 0.1111111111111111}",37,0.3333333333333333,1.8888888888888888,0.0,0.1111111111111111,0.4385505534544844,0.15116279069767388,0.9002541398626663
61,0.0,2.0,0.0,4.0,5.0,4.0,3.0,4.0,68.0,0.0,2,V161069_stats,"{'node_count': 6, 'edge_count': 5, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.3333333333333341, 'k avg': 1.6666666666666667, 'k std': 0.816496580927726, 'entropy': 0.6084084955066061, 'density': 0.3333333333333333}",15,1.0,1.6666666666666667,0.0,0.3333333333333333,0.6084084955066061,0.3333333333333341,0.816496580927726
62,0.0,2.0,0.0,2.0,6.5,6.0,2.0,4.0,76.0,1.0,2,V161069_stats,"{'node_count': 10, 'edge_count': 9, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.22727272727272738, 'k avg': 1.8, 'k std': 0.7888106377466155, 'entropy': 0.49036821066210917, 'density': 0.2}",26,1.0,1.8,0.0,0.2,0.49036821066210917,0.22727272727272738,0.7888106377466155
63,4.0,0.0,0.0,4.5,5.0,5.5,1.0,5.5,31.0,0.0,3,V161069_stats,"{'node_count': 4, 'edge_count': 3, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.5, 'k std': 1.0, 'entropy': 0.4393743703526205, 'density': 0.5}",13,1.0,1.5,0.0,0.5,0.4393743703526205,1.0,1.0
66,2.0,,0.0,,,,,,68.0,1.0,2,V161069_stats,"{'node_count': 20, 'edge_count': 20, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.04761904761904825, 'k avg': 2.0, 'k std': 1.025978352085154, 'entropy': 0.45301489229365893, 'density': 0.10526315789473684}",48,1.0,2.0,0.0,0.10526315789473684,0.45301489229365893,0.04761904761904825,1.025978352085154
67,0.0,3.0,0.5,4.0,7.0,6.5,4.5,5.0,57.0,0.0,3,V161069_stats,"{'node_count': 4, 'edge_count': 4, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.1951219512195119, 'k avg': 2.0, 'k std': 1.4142135623730951, 'entropy': 0.8123743703410189, 'density': 0.6666666666666666}",12,1.0,2.0,0.0,0.6666666666666666,0.8123743703410189,0.1951219512195119,1.4142135623730951
