V160001,leftright,politicalinterest,politicalparticipation,TIPI_extraversion,TIPI_agreeableness,TIPI_conscientiousness,TIPI_emotionalstability,TIPI_openness,age,female,education,question,net_stats,clustering,giant component,disssortativity,k avg,k std,entropy,density
12,2.0,,0.0,,,,,,86.0,1.0,2,V161069_stats,"{'node_count': 10, 'edge_count': 6, 'clustering': 0.0, 'giant component': 0.3, 'disssortativity': 0.33333333333333237, 'k avg': 1.2, 'k std': 0.6324555320336759, 'entropy': 0.41740034149720906, 'density': 0.13333333333333333}",0.0,0.3,0.33333333333333237,1.2,0.6324555320336759,0.41740034149720906,0.13333333333333333
13,4.0,3.0,0.5,4.0,5.5,5.5,2.5,5.5,30.0,0.0,3,V161069_stats,"{'node_count': 11, 'edge_count': 8, 'clustering': 0.0, 'giant component': 0.18181818181818182, 'disssortativity': -0.0, 'k avg': 1.4545454545454546, 'k std': 0.9341987329938275, 'entropy': 0.5208935504743277, 'density': 0.14545454545454545}",0.0,0.18181818181818182,-0.0,1.4545454545454546,0.9341987329938275,0.5208935504743277,0.14545454545454545
15,0.0,3.0,0.5,7.0,6.5,4.5,3.5,6.5,62.0,1.0,3,V161069_stats,"{'node_count': 3, 'edge_count': 2, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.3333333333333333, 'k std': 0.5773502691896257, 'entropy': 0.6293370420768268, 'density': 0.6666666666666666}",0.0,1.0,1.0,1.3333333333333333,0.5773502691896257,0.6293370420768268,0.6666666666666666
17,0.0,3.0,0.5,1.5,4.0,6.5,3.5,4.5,46.0,0.0,3,V161069_stats,"{'node_count': 14, 'edge_count': 12, 'clustering': 0.047619047619047616, 'giant component': 0.8571428571428571, 'disssortativity': 0.3333333333333332, 'k avg': 1.7142857142857142, 'k std': 1.3827826698682308, 'entropy': 0.4976142582548341, 'density': 0.13186813186813187}",0.047619047619047616,0.8571428571428571,0.3333333333333332,1.7142857142857142,1.3827826698682308,0.4976142582548341,0.13186813186813187
19,0.0,2.0,0.5,3.5,6.0,5.5,2.0,5.5,30.0,1.0,3,V161069_stats,"{'node_count': 10, 'edge_count': 10, 'clustering': 0.14333333333333334, 'giant component': 1.0, 'disssortativity': 0.42180094786729727, 'k avg': 2.0, 'k std': 1.247219128924647, 'entropy': 0.554808602072112, 'density': 0.2222222222222222}",0.14333333333333334,1.0,0.42180094786729727,2.0,1.247219128924647,0.554808602072112,0.2222222222222222
23,4.0,2.0,0.0,6.0,5.0,5.0,4.0,4.5,56.0,1.0,2,V161069_stats,"{'node_count': 2, 'edge_count': 1, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': -1, 'k avg': 1.0, 'k std': 0.0, 'entropy': 0.0, 'density': 1.0}",0.0,1.0,-1.0,1.0,0.0,0.0,1.0
27,3.0,1.0,0.0,5.5,6.5,6.0,1.5,6.0,68.0,,3,V161069_stats,"{'node_count': 7, 'edge_count': 6, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.49999999999999944, 'k avg': 1.7142857142857142, 'k std': 1.1126972805283735, 'entropy': 0.528268450675938, 'density': 0.2857142857142857}",0.0,1.0,0.49999999999999944,1.7142857142857142,1.1126972805283735,0.528268450675938,0.2857142857142857
29,2.0,3.0,0.5,4.0,5.5,6.0,3.0,6.0,73.0,0.0,3,V161069_stats,"{'node_count': 7, 'edge_count': 6, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.44827586206896564, 'k avg': 1.7142857142857142, 'k std': 0.9511897312113419, 'entropy': 0.528268450675938, 'density': 0.2857142857142857}",0.0,1.0,0.44827586206896564,1.7142857142857142,0.9511897312113419,0.528268450675938,0.2857142857142857
36,1.0,2.0,0.0,3.0,4.0,3.5,3.0,4.5,67.0,0.0,3,V161069_stats,"{'node_count': 2, 'edge_count': 1, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': -1, 'k avg': 1.0, 'k std': 0.0, 'entropy': 0.0, 'density': 1.0}",0.0,1.0,-1.0,1.0,0.0,0.0,1.0
39,2.0,3.0,0.0,2.5,5.0,5.0,4.5,4.0,48.0,0.0,1,V161069_stats,"{'node_count': 9, 'edge_count': 7, 'clustering': 0.0, 'giant component': 0.6666666666666666, 'disssortativity': 0.5657894736842111, 'k avg': 1.5555555555555556, 'k std': 1.0137937550497034, 'entropy': 0.4140251236514826, 'density': 0.19444444444444445}",0.0,0.6666666666666666,0.5657894736842111,1.5555555555555556,1.0137937550497034,0.4140251236514826,0.19444444444444445
40,1.0,2.0,1.0,5.0,5.0,5.5,5.0,6.0,26.0,1.0,2,V161069_stats,"{'node_count': 8, 'edge_count': 8, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.3968253968253968, 'k avg': 2.0, 'k std': 0.9258200997725514, 'entropy': 0.4648167290539554, 'density': 0.2857142857142857}",0.0,1.0,0.3968253968253968,2.0,0.9258200997725514,0.4648167290539554,0.2857142857142857
43,0.0,2.0,0.0,6.5,7.0,7.0,1.0,7.0,46.0,1.0,3,V161069_stats,"{'node_count': 4, 'edge_count': 3, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 1.0, 'k avg': 1.5, 'k std': 1.0, 'entropy': 0.4393743703526205, 'density': 0.5}",0.0,1.0,1.0,1.5,1.0,0.4393743703526205,0.5
46,1.0,3.0,0.5,6.0,4.5,6.5,3.0,5.0,52.0,1.0,3,V161069_stats,"{'node_count': 14, 'edge_count': 14, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.28048780487804803, 'k avg': 2.0, 'k std': 1.1094003924504583, 'entropy': 0.48336248625233236, 'density': 0.15384615384615385}",0.0,1.0,0.28048780487804803,2.0,1.1094003924504583,0.48336248625233236,0.15384615384615385
47,3.0,1.0,0.0,3.5,5.5,6.5,4.5,5.0,29.0,1.0,3,V161069_stats,"{'node_count': 10, 'edge_count': 9, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.4178082191780822, 'k avg': 1.8, 'k std': 1.2292725943057183, 'entropy': 0.4417229645521758, 'density': 0.2}",0.0,1.0,0.4178082191780822,1.8,1.2292725943057183,0.4417229645521758,0.2
50,1.0,,0.0,,,,,,64.0,0.0,1,V161069_stats,"{'node_count': 11, 'edge_count': 10, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.6326530612244871, 'k avg': 1.8181818181818181, 'k std': 0.7507571935295484, 'entropy': 0.46190908193565133, 'density': 0.18181818181818182}",0.0,1.0,0.6326530612244871,1.8181818181818181,0.7507571935295484,0.46190908193565133,0.18181818181818182
52,0.0,2.0,0.0,5.0,6.0,6.0,2.5,5.0,61.0,1.0,3,V161069_stats,"{'node_count': 8, 'edge_count': 4, 'clustering': 0.0, 'giant component': 0.25, 'disssortativity': 0.3333333333333333, 'k avg': 1.0, 'k std': 0.5345224838248488, 'entropy': 0.3798134801506764, 'density': 0.14285714285714285}",0.0,0.25,0.3333333333333333,1.0,0.5345224838248488,0.3798134801506764,0.14285714285714285
55,0.0,2.0,0.0,4.5,6.0,6.5,2.0,5.5,35.0,1.0,3,V161069_stats,"{'node_count': 16, 'edge_count': 15, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.39743589743589763, 'k avg': 1.875, 'k std': 1.5, 'entropy': 0.40694542228669306, 'density': 0.125}",0.0,1.0,0.39743589743589763,1.875,1.5,0.40694542228669306,0.125
56,2.0,2.0,0.0,3.0,5.0,5.5,2.5,6.5,24.0,1.0,2,V161069_stats,"{'node_count': 11, 'edge_count': 12, 'clustering': 0.09090909090909091, 'giant component': 1.0, 'disssortativity': 0.03124999999999894, 'k avg': 2.1818181818181817, 'k std': 1.0787197799411874, 'entropy': 0.5633025892964874, 'density': 0.21818181818181817}",0.09090909090909091,1.0,0.03124999999999894,2.1818181818181817,1.0787197799411874,0.5633025892964874,0.21818181818181817
58,0.0,2.0,0.0,4.0,4.0,5.5,3.0,5.0,61.0,0.0,3,V161069_stats,"{'node_count': 8, 'edge_count': 7, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.33333333333333387, 'k avg': 1.75, 'k std': 0.7071067811865476, 'entropy': 0.5030544319692167, 'density': 0.25}",0.0,1.0,0.33333333333333387,1.75,0.7071067811865476,0.5030544319692167,0.25
59,0.0,1.0,0.5,3.0,7.0,7.0,1.0,7.0,52.0,1.0,3,V161069_stats,"{'node_count': 17, 'edge_count': 17, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.055172413793102594, 'k avg': 2.0, 'k std': 0.7905694150420949, 'entropy': 0.4070198721516905, 'density': 0.125}",0.0,1.0,0.055172413793102594,2.0,0.7905694150420949,0.4070198721516905,0.125
61,0.0,2.0,0.0,4.0,5.0,4.0,3.0,4.0,68.0,0.0,2,V161069_stats,"{'node_count': 7, 'edge_count': 6, 'clustering': 0.0, 'giant component': 1.0, 'disssortativity': 0.49999999999999944, 'k avg': 1.7142857142857142, 'k std': 1.1126972805283735, 'entropy': 0.528268450675938, 'density': 0.2857142857142857}",0.0,1.0,0.49999999999999944,1.7142857142857142,1.1126972805283735,0.528268450675938,0.2857142857142857
